start_ms,end_ms,label_id,label,n,dropped,clipped,mean_ax,mean_ay,mean_az,mean_lax,mean_lay,mean_laz,mean_gx,mean_gy,mean_gz,rms_ax,rms_ay,rms_az,rms_gx,rms_gy,rms_gz
282052,283786,2,stairs,64,0,0,-167,-122,968,21,16,5,96,-92,-438,184,133,968,165,240,594
283786,285528,2,stairs,64,0,0,-100,-139,977,30,-11,4,-40,147,-969,119,149,977,191,202,1020
285528,287263,2,stairs,64,0,0,-196,-145,958,-47,-5,-10,41,163,-149,212,161,958,191,249,215
287263,288995,2,stairs,64,0,0,-235,-136,953,-26,2,-4,49,11,77,240,153,953,206,198,210
288995,290725,2,stairs,64,0,0,-205,-127,962,9,11,4,10,-7,243,211,144,962,211,231,486
290725,292458,2,stairs,64,0,0,-213,-147,957,0,-6,-1,-55,8,-8,223,156,957,160,208,154
292458,294197,2,stairs,64,0,0,-177,-133,966,18,3,3,68,-11,-492,188,147,966,170,221,810
294197,295938,2,stairs,64,0,0,-260,-104,949,-42,8,-9,96,129,-751,268,119,949,201,221,1053
295938,297674,2,stairs,64,0,0,-227,-116,957,3,0,2,-11,-14,555,236,131,958,126,270,799
297674,299412,2,stairs,64,0,0,-242,-98,954,-4,15,0,58,54,-417,251,112,954,203,267,664
299412,301149,2,stairs,64,0,0,-238,-109,953,3,-4,0,62,18,-441,249,119,953,187,200,576
301149,302886,2,stairs,64,0,0,-207,-98,960,24,0,5,48,-54,8,224,110,961,181,302,311
302886,304628,2,stairs,64,0,0,-195,-148,959,7,-21,0,71,78,-867,206,154,959,169,221,941
304628,306359,2,stairs,64,0,0,-190,-59,971,4,40,6,88,54,-122,201,70,971,166,199,340
306359,308094,2,stairs,64,0,0,-181,-142,961,9,-33,-2,27,25,-384,198,147,961,125,200,596
308094,309829,2,stairs,64,0,0,-178,-79,970,-2,26,2,-18,7,564,186,92,970,155,217,831
309829,311562,2,stairs,64,0,0,-200,-94,964,-8,-8,-1,-86,7,887,207,123,965,235,189,993
311562,313297,2,stairs,64,0,0,-256,-143,945,-38,-27,-13,-120,76,27,265,157,945,193,207,256
313297,315032,2,stairs,64,0,0,-264,-131,946,-10,4,-1,76,18,-231,269,144,946,224,178,361
315032,316769,2,stairs,64,0,0,-211,-149,956,30,-8,6,72,-74,-850,219,162,956,114,207,921
316769,318505,2,stairs,64,0,0,-228,-110,955,-8,19,0,101,222,-546,238,133,955,232,273,694
318505,320238,2,stairs,64,0,0,-250,-126,950,-4,-10,-1,-17,9,-7,261,138,950,200,196,156
320238,321969,2,stairs,64,0,0,-255,-122,948,-14,-5,-4,95,41,-144,265,141,949,193,256,365
321969,323708,2,stairs,64,0,0,-212,-139,956,25,-3,4,136,26,-1044,224,147,956,211,127,1113
323708,325448,2,stairs,64,0,0,-275,-149,940,-32,-4,-8,41,203,-419,284,161,940,197,265,664
325448,327183,2,stairs,64,0,0,-250,-122,951,7,12,4,60,2,-2,256,137,951,177,177,268
327183,328912,2,stairs,64,0,0,-248,-100,955,-1,23,2,61,41,87,255,124,955,155,129,184
328912,330629,2,stairs,64,0,0,-213,-64,969,32,22,11,-19,-80,231,220,75,969,126,131,379
